LG PONTE SARELA	A Ponte Sarela
LG MARZO ARRIBA	Lugar Marzo Arriba
LG MIRAMONTES	Lugar Miramontes
LG MOAS ABAIXO	Lugar Moas Abaixo
LG MONTE VILA	Lugar Monte Vila
LG MONTES	Lugar Montes
LG MOURENTAN	Lugar Mourentan
LG MUIÑOS	Lugar Muiños
LG NEIRO	Lugar Neiro
LG NEIRO ABAIXO	Lugar Neiro Abaixo
LG NEIRO ARRIBA	Lugar Neiro Arriba
LG NEMENZO ABAIXO	Lugar Nemenzo Abaixo
LG NEMENZO ARRIBA	Lugar Nemenzo Arriba
LG NOVAL	Lugar Noval
LG OUTEIRO MARANTES	Lugar Outeiro Marantes
LG OUTEIRO MARROZOS	Lugar Outeiro Marrozos
LG PARADELA	Lugar Paradela
LG PARADELAS ABAIXO	Lugar Paradelas Abaixo
LG PARDACES ABAIXO	Lugar Pardaces Abaixo
LG PARDACES ARRIBA	Lugar Pardaces Arriba
LG PAREDES LARAÑO	Lugar Paredes Laraño
LG PAREDES SAN LAZARO	Lugar Paredes San Lazaro
LG PEDRA	Lugar Pedra
LG PENA	Lugar Pena
LG PEREGRINA	Lugar Peregrina
LG PEREIRAS EIXO	Lugar Pereiras Eixo
LG PEREIRAS SAN CAETANO	Lugar Pereiras San Caetano
LG PIÑEIRO CARBALLAL	Lugar Piñeiro Carballal
LG PIÑEIRO EIXO	Lugar Piñeiro Eixo
LG PIÑEIRO ENFESTA	Lugar Piñeiro Enfesta
LG PIÑOR	Lugar Piñor
LG POLVEIRA	Lugar Polveira
LG PONTE	Lugar Ponte
LG PONTE ALVAR	Lugar Ponte Alvar
LG PONTILLON	Lugar Pontillon
LG PORTELA FIGUEIRAS	Lugar Portela Figueiras
LG PORTELA VILLESTRO	Lugar Portela Villestro
LG PRAZA	Lugar Praza
LG QUEIROAL	Lugar Queiroal
LG QUENLLAS	Lugar Quenllas
LG QUINTANS VERDIA	Lugar Quintans Verdia
LG QUINTANS VILLESTRO	Lugar Quintans Villestro
LG QUINTAS	Lugar Quintas
LG RAMELLE	Lugar Ramelle
LG RAMIL	Lugar Ramil
LG REBORDAOS	Lugar Rebordaos
LG REBORIDO	Lugar Reborido
LG REIBO	Lugar Reibo
LG REQUESENDE	Lugar Requesende
LG ROAN	Lugar Roan
LG ROMAÑO	Lugar Romaño
LG ROXIDO	Lugar Roxido
LG ROXOS	Lugar Roxos
LG ROZA	Lugar Roza
LG RUA TRAVESA MARANTES	Lugar Rua Travesa Marantes
LG SAN SILVESTRE	Lugar San Silvestre
LG SANXUAS	Lugar Sanxuas
LG SARELA ARRIBA	Lugar Sarela Arriba
LG SIGUEIRO	Lugar Sigueiro
LG SIONLLA	Lugar Sionlla
LG SIONLLA ABAIXO	Lugar Sionlla Abaixo
LG SIONLLA ARRIBA	Lugar Sionlla Arriba
LG SOBRINS	Lugar Sobrins
