LG PONTE SARELA	A Ponte Sarela
RU PINTOR XAIME QUESADA	Rúa do Pintor Xaime Quesada
RU PIÑEIRO	Rúa do Piñeiro
RU PIÑEIRO VILLESTRO	Rúa do Piñeiro de Villestro
LG PIÑEIRO VILLESTRO	Rúa do Piñeiro de Villestro
RU POMBAL	Rúa do Pombal
RU PORTO CONXO	Rúa do Porto de Conxo
RU PORTO VITE	Rúa do Porto de Vite
RU PORTO MEDIO	Rúa do Porto do Medio
RU PREGUNTOIRO	Rúa do Preguntoiro
RU RUELA QUINTEIRO	Rúa do Quinteiro
RU REFIXON	Rúa do Refixón
RU RESTOLLAL	Rúa do Restollal
RU ROSA PARDO	Rúa do Restollal
RU RIAL CONXO	Rúa do Rial de Conxo
RU ROSARIO	Rúa do Rosario
RU RIO	Rúa do Río
RU RIO ARRIBA	Rúa do Río Arriba
RU SANDINO	Rúa do Sandino
RU SOL	Rúa do Sol
RU SOUTO	Rúa do Souto
RU TAMBRE	Rúa do Tambre
RU ULLA	Rúa do Ulla
RU VALIÑO	Rúa do Valiño
RU VEADIÑO	Rúa do Veadiño
RU VEADO	Rúa do Veado
RU VENCELLO	Rúa do Vencello
RU VIADUCTO ROCHA	Rúa do Viaduto da Rocha
RU VIEIRO	Rúa do Vieiro
RU VILAR	Rúa do Vilar
RU VISO	Rúa do Viso
RU VISO ARRIBA	Rúa do Viso de Arriba
RU XABRAL	Rúa do Xabral
RU XENERAL PARDIÑAS	Rúa do Xeneral Pardiñas
RU MONTE REDONDO	Rúa do monte Redondo
RU ASIDROS	Rúa dos Asidros
RU BASQUIÑOS	Rúa dos Basquiños
RU BAUTIZADOS	Rúa dos Bautizados
RU CABALOS	Rúa dos Cabalos
RU CAMALLONS	Rúa dos Camallóns
RU CAMPOS	Rúa dos Campos
RU CARAVEIS	Rúa dos Caraveis
RU CONCHEIROS	Rúa dos Concheiros
RU FEANS	Rúa dos Feáns
RU FORNIÑOS	Rúa dos Forniños
RU IRMANDIÑOS	Rúa dos Irmandiños
RU IRMANS REY ALVITE	Rúa dos Irmáns Rey Alvite
RU IRMANS VILAR PONTE	Rúa dos Irmáns Vilar Ponte
RU LAGARTOS	Rúa dos Lagartos
RU LOUREIROS	Rúa dos Loureiros
RU PAZOS	Rúa dos Pazos
RU PELAMIOS	Rúa dos Pelamios
RU PITELOS	Rúa dos Pitelos
RU PORRONS	Rúa dos Porróns
RU ROLANS	Rúa dos Roláns
RU SALGUEIRIÑOS ARRIBA	Rúa dos Salgueiriños de Arriba
RU TRUQUES	Rúa dos Truques
RU XASMINS	Rúa dos Xasmíns
RU SALGUEIRIÑOS ABAIXO	Salgueiriños de Abaixo
LG SANTO IGNACIO MONTE	Santo Ignacio do Monte
LG SANTOMIL	Santomil
LG SILVOUTA	Silvouta
BO TOXEIRA SAN LOURENZO	Toxeira de San Lorenzo
TR BENEFICA CONXO	Travesa da Benéfica de Conxo
TR CALZADA SAR	Travesa da Calzada de Sar
TR CAMPIÑA (DA)	Travesa da Campiña
TR CANTALETA	Travesa da Cantaleta
TR CHAPARRA	Travesa da Chaparra
TR CHOUPANA	Travesa da Choupana
TR COSTA NOVA	Travesa da Costa Nova
TR ESTRADA	Travesa da Estrada
TR FERVENZA	Travesa da Fervenza
TR FONTE OURO	Travesa da Fonte do Ouro
TR PONTE SAR	Travesa da Ponte de Sar
TR PONTE VISO	Travesa da Ponte do Viso
TR POZA	Travesa da Poza
TR SUSANA	Travesa da Susana
TR CASAS HEDRA	Travesa das Casas da Hedra
TR PENAS DE ARINS (DAS)	Travesa das Penas
RU ANGROIS	Travesa de Angrois
TR ANGROIS	Travesa de Angrois
TR CONXO ABAIXO	Travesa de Conxo de Abaixo
TR CONXO ARRIBA	Travesa de Conxo de Arriba
TR LAMAS ABADE	Travesa de Lamas de Abade
TR LERMO	Travesa de Lermo
TR MOURONZON	Travesa de Mourozon
TR PASTORIZA	Travesa de Pastoriza
TR PICAÑOS	Travesa de Picaños
TR SAN LOURENZO	Travesa de San Lourenzo
TR SAN MARCOS	Travesa de San Marcos
TR SAN PEDRO	Travesa de San Pedro
TR TORRENTE	Travesa de Torrente
TR VISTA ALEGRE	Travesa de Vista Alegre
TR VITE ARRIBA	Travesa de Vite de Arriba
TR CARME ABAIXO	Travesa do Carme de Abaixo
TR CENDAL	Travesa do Cendal
TR CHAN CURROS	Travesa do Chan de Curros
TR COMBARRO	Travesa do Combarro
TR CRUCEIRO GAIO	Travesa do Cruceiro do Gaio
TR ESCULTOR ASOREY	Travesa do Escultor Asorey
TR FRANCO	Travesa do Franco
TR SISTO (DO)	Travesa do Sisto
TR VISO	Travesa do Viso
TR BASQUIÑOS	Travesa dos Basquiños
RU RUELA PITELOS	Travesa dos Pitelos
TR CASA AGRARIA	Travesia da casa agraria
TR TEO	Travesia de Teo
TR SANTA MARTA ABAIXO	Travesía Santa Marta de Abaixo
TR RESTOLLAL	Travesía do Restollal
TR DUAS PORTAS (DAS)	Travesía/Transversal Duas Portas (Das)
TR FONSECA	Travesía/Transversal Fonseca
TR PARDIÑAS	Travesía/Transversal Pardiñas
TR SANXUAS	Travesía/Transversal Sanxuas
TR UNIVERSIDADE	Travesía/Transversal Universidade
RU TRANSVERSAL GRAMATICOS	Tránsito dos Gramáticos
VI SACRA	Vi Sacra
VI NOBEL (DE)	Via de Nobel
LG VILACOBA	Vilacoba
VI EDISON (DE)	Vía Edison
VI ARQUIMEDES (DE)	Vía de Arquímedes
VI COPERNICO (DE)	Vía de Copérnico
VI DIESEL (DE)	Vía de Diesel
VI FARADAY (DE)	Vía de Faraday
VI GALILEO (DE)	Vía de Galileo
VI GUTEMBERG (DE)	Vía de Gutenberg
VI ISAAC PERAL (DE)	Vía de Isaac Peral
VI CIERVA (LA)	Vía de La Cierva
VI MARCONI (DE)	Vía de Marconi
VI PASTEUR (DE)	Vía de Pasteur
VI PTOLOMEO (DE)	Vía de Ptolomeo
